date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:22	145837/145837	---M-Z	200	added ('OK')	text/html	etag:%22239ad-65016547-a4341034f907f61e;gz%22	https://bvite-html.pixelwibes.in/my-contact.html	C:/AMS/NewWebRAT/AdminPanel/HTMLDesign/AdminPanel/bvite-html.pixelwibes.in/my-contact.html	(from )
20:51:22	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-62c84847-f867e9a5c438f210;gz%22	https://bvite-html.pixelwibes.in/robots.txt		(from )
20:51:23	14462/14462	---M-Z	200	added ('OK')	image/x-icon	etag:%22387e-650160bb-5a7b2d472d77ff1b;gz%22	https://bvite-html.pixelwibes.in/assets/images/favicon.ico	C:/AMS/NewWebRAT/AdminPanel/HTMLDesign/AdminPanel/bvite-html.pixelwibes.in/assets/images/favicon.ico	(from https://bvite-html.pixelwibes.in/my-contact.html)
20:51:23	502/502	---M--	200	added ('OK')	image/png	etag:%221f6-650160bb-c357f0c290b445a3;;;%22	https://bvite-html.pixelwibes.in/assets/images/favicon-16x16.png	C:/AMS/NewWebRAT/AdminPanel/HTMLDesign/AdminPanel/bvite-html.pixelwibes.in/assets/images/favicon-16x16.png	(from https://bvite-html.pixelwibes.in/my-contact.html)
20:51:23	1340/1340	---M--	200	added ('OK')	image/png	etag:%2253c-650160bb-68a2b3780b10388;;;%22	https://bvite-html.pixelwibes.in/assets/images/favicon-32x32.png	C:/AMS/NewWebRAT/AdminPanel/HTMLDesign/AdminPanel/bvite-html.pixelwibes.in/assets/images/favicon-32x32.png	(from https://bvite-html.pixelwibes.in/my-contact.html)
20:51:23	12369/12369	---M--	200	added ('OK')	image/png	etag:%223051-650160ba-4ed7800c98b0794e;;;%22	https://bvite-html.pixelwibes.in/assets/images/apple-touch-icon.png	C:/AMS/NewWebRAT/AdminPanel/HTMLDesign/AdminPanel/bvite-html.pixelwibes.in/assets/images/apple-touch-icon.png	(from https://bvite-html.pixelwibes.in/my-contact.html)
20:51:24	147127/147127	---M-Z	200	added ('OK')	text/html	etag:%2223eb7-6501b0fe-94033969cb535ef5;gz%22	https://bvite-html.pixelwibes.in/dashboard.html	C:/AMS/NewWebRAT/AdminPanel/HTMLDesign/AdminPanel/bvite-html.pixelwibes.in/dashboard.html	(from https://bvite-html.pixelwibes.in/my-contact.html)
20:51:24	327016/327016	---M-Z	200	added ('OK')	text/css	etag:%224fd68-65016121-676412e80df2e29;gz%22	https://bvite-html.pixelwibes.in/assets/css/style.min.css	C:/AMS/NewWebRAT/AdminPanel/HTMLDesign/AdminPanel/bvite-html.pixelwibes.in/assets/css/style.min.css	(from https://bvite-html.pixelwibes.in/my-contact.html)
20:51:25	124690/124690	---M-Z	200	added ('OK')	text/html	etag:%221e712-65016547-bb89f5f33f39f3f6;gz%22	https://bvite-html.pixelwibes.in/my-profile.html	C:/AMS/NewWebRAT/AdminPanel/HTMLDesign/AdminPanel/bvite-html.pixelwibes.in/my-profile.html	(from https://bvite-html.pixelwibes.in/my-contact.html)
20:51:25	139535/139535	---M-Z	200	added ('OK')	text/html	etag:%222210f-6501653d-a67a4aacbfbf29cb;gz%22	https://bvite-html.pixelwibes.in/blog.html	C:/AMS/NewWebRAT/AdminPanel/HTMLDesign/AdminPanel/bvite-html.pixelwibes.in/blog.html	(from https://bvite-html.pixelwibes.in/my-contact.html)
